Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"KLF2","KLF Transcription Factor 2","Protein Coding","Q9Y5W3","53","GC19P142497","1.33209371566772","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF2"
"HGF","Hepatocyte Growth Factor","Protein Coding","P14210","65","GC07M081699","1.32412779331207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGF"
"FOS","Fos Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","P01100","64","GC14P075278","1.32412779331207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOS"
"ITGA4","Integrin Subunit Alpha 4","Protein Coding","P13612","62","GC02P181492","1.32412779331207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA4"
"MYD88","MYD88 Innate Immune Signal Transduction Adaptor","Protein Coding","Q99836","62","GC03P038437","1.32412779331207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYD88"
"ANGPT2","Angiopoietin 2","Protein Coding","O15123","61","GC08M006499","1.32412779331207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT2"
"HSPA5","Heat Shock Protein Family A (Hsp70) Member 5","Protein Coding","P11021","61","GC09M125234","1.32412779331207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA5"
"MIF","Macrophage Migration Inhibitory Factor","Protein Coding","P14174","61","GC22P023894","1.32412779331207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIF"
"SLC2A3","Solute Carrier Family 2 Member 3","Protein Coding","P11169","61","GC12M007919","1.32412779331207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A3"
"CYP2A6","Cytochrome P450 Family 2 Subfamily A Member 6","Protein Coding","P11509","59","GC19M040843","1.32412779331207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2A6"
"FOSL1","FOS Like 1, AP-1 Transcription Factor Subunit","Protein Coding","P15407","57","GC11M136596","1.32412779331207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOSL1"
"PLAUR","Plasminogen Activator, Urokinase Receptor","Protein Coding","Q03405","57","GC19M043646","1.32412779331207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAUR"
"LGMN","Legumain","Protein Coding","Q99538","56","GC14M092703","1.32412779331207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGMN"
"GFM2","GTP Dependent Ribosome Recycling Factor Mitochondrial 2","Protein Coding","Q969S9","53","GC05M074721","1.32412779331207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFM2"
"DYNC2LI1","Dynein Cytoplasmic 2 Light Intermediate Chain 1","Protein Coding","Q8TCX1","51","GC02P044539","1.32412779331207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNC2LI1"
"S100A12","S100 Calcium Binding Protein A12","Protein Coding","P80511","50","GC01M153373","1.32412779331207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A12"
"TIMD4","T Cell Immunoglobulin And Mucin Domain Containing 4","Protein Coding","Q96H15","49","GC05M156919","1.32412779331207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMD4"
"CYP3A51P","Cytochrome P450 Family 3 Subfamily A Member 51, Pseudogene","Pseudogene","","10","GC07M099685","1.32412779331207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A51P"
"SPP1","Secreted Phosphoprotein 1","Protein Coding","P10451","57","GC04P087975","1.31123065948486","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP1"
"CDH5","Cadherin 5","Protein Coding","P33151","60","GC16P066366","1.27312445640564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH5"
"NAMPT","Nicotinamide Phosphoribosyltransferase","Protein Coding","P43490","60","GC07M106248","1.27312445640564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAMPT"
"CCL11","C-C Motif Chemokine Ligand 11","Protein Coding","P51671","59","GC17P034285","1.27312445640564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL11"
"CHIT1","Chitinase 1","Protein Coding","Q13231","57","GC01M203213","1.27312445640564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHIT1"
"IL22","Interleukin 22","Protein Coding","Q9GZX6","54","GC12M068248","1.27312445640564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL22"
"SLPI","Secretory Leukocyte Peptidase Inhibitor","Protein Coding","P03973","53","GC20M045252","1.27312445640564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLPI"
"CCL17","C-C Motif Chemokine Ligand 17","Protein Coding","Q92583","52","GC16P113751","1.27312445640564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL17"
"CCL26","C-C Motif Chemokine Ligand 26","Protein Coding","Q9Y258","50","GC07M075769","1.27312445640564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL26"
"LOC110596866","CYP7A1 5' Regulatory Region","Functional Element","","3","GC08P058498","1.27312445640564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110596866"
"JAK2","Janus Kinase 2","Protein Coding","O60674","66","GC09P004985","1.20665562152863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2"
"NFKBIA","NFKB Inhibitor Alpha","Protein Coding","P25963","64","GC14M035401","1.20665562152863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKBIA"
"IL2RB","Interleukin 2 Receptor Subunit Beta","Protein Coding","P14784","63","GC22M083884","1.20665562152863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RB"
"REN","Renin","Protein Coding","P00797","61","GC01M204154","1.20665562152863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REN"
"ANXA1","Annexin A1","Protein Coding","P04083","60","GC09P073151","1.20665562152863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA1"
"PTGS1","Prostaglandin-Endoperoxide Synthase 1","Protein Coding","P23219","60","GC09P122370","1.20665562152863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS1"
"PHB1","Prohibitin 1","Protein Coding","P35232","59","GC17M093780","1.20665562152863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHB1"
"RHOB","Ras Homolog Family Member B","Protein Coding","P62745","57","GC02P020447","1.20665562152863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOB"
"TIMP3","TIMP Metallopeptidase Inhibitor 3","Protein Coding","P35625","57","GC22P086768","1.20665562152863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP3"
"NOX4","NADPH Oxidase 4","Protein Coding","Q9NPH5","56","GC11M089324","1.20665562152863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOX4"
"MIR494","MicroRNA 494","RNA Gene","","26","GC14P120247","1.20665562152863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR494"
"CYP7B1","Cytochrome P450 Family 7 Subfamily B Member 1","Protein Coding","O75881","59","GC08M064587","1.18629860877991","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP7B1"
"RNU1-1","RNA, U1 Small Nuclear 1","RNA Gene","","22","GC01M016514","1.15554189682007","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU1-1"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","36","GC11M001995","1.08980011940002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"HULC","Hepatocellular Carcinoma Up-Regulated Long Non-Coding RNA","RNA Gene","","29","GC06P009057","1.08980011940002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HULC"
"CHROMR","Cholesterol Induced Regulator Of Metabolism RNA","RNA Gene","","18","GC02P178459","1.08980011940002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHROMR"
"G6PD","Glucose-6-Phosphate Dehydrogenase","Protein Coding","P11413","63","GC0XM154618","1.00910091400146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=G6PD"
"LDLRAP1","Low Density Lipoprotein Receptor Adaptor Protein 1","Protein Coding","Q5SW96","53","GC01P025543","1.00165438652039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLRAP1"
"CCR5","C-C Motif Chemokine Receptor 5","Protein Coding","P51681","60","GC03P063059","0.970518469810486","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR5"
"ADCY2","Adenylate Cyclase 2","Protein Coding","Q08462","57","GC05P007396","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY2"
"SLC13A5","Solute Carrier Family 13 Member 5","Protein Coding","Q86YT5","57","GC17M006684","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC13A5"
"MYOM2","Myomesin 2","Protein Coding","P54296","50","GC08P002045","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYOM2"
"CBLN2","Cerebellin 2 Precursor","Protein Coding","Q8IUK8","47","GC18M072537","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBLN2"
"PPP1R14C","Protein Phosphatase 1 Regulatory Inhibitor Subunit 14C","Protein Coding","Q8TAE6","47","GC06P150143","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R14C"
"ZNF536","Zinc Finger Protein 536","Protein Coding","O15090","45","GC19P142753","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF536"
"RHOBTB1","Rho Related BTB Domain Containing 1","Protein Coding","O94844","44","GC10M060869","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOBTB1"
"SUSD1","Sushi Domain Containing 1","Protein Coding","Q6UWL2","44","GC09M112040","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUSD1"
"ZNF676","Zinc Finger Protein 676","Protein Coding","Q8N7Q3","41","GC19M104708","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF676"
"GARRE1","Granule Associated Rac And RHOG Effector 1","Protein Coding","O15063","37","GC19P142797","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GARRE1"
"SGO1-AS1","SGO1 Antisense RNA 1","RNA Gene","","23","GC03P025879","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGO1-AS1"
"LINC01419","Long Intergenic Non-Protein Coding RNA 1419","RNA Gene","","18","GC08P083403","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01419"
"LINC03021","Long Intergenic Non-Protein Coding RNA 3021","RNA Gene","","16","GC08M002958","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC03021"
"LINC02300","Long Intergenic Non-Protein Coding RNA 2300","RNA Gene","","11","GC14M028540","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02300"
"VENTXP7","VENT Homeobox Pseudogene 7","Pseudogene","","11","GC03P025893","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VENTXP7"
"LINC01899","Long Intergenic Non-Protein Coding RNA 1899","RNA Gene","","9","GC18M071733","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01899"
"BTF3P2","BTF3 Pseudogene 2","Pseudogene","","8","GC14M028672","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTF3P2"
"PCGF7P","Polycomb Group Ring Finger 7 Pseudogene","Pseudogene","","8","GC19P022137","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCGF7P"
"RPL23AP73","Ribosomal Protein L23a Pseudogene 73","Pseudogene","","7","GC17P006749","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL23AP73"
"TPM3P3","Tropomyosin 3 Pseudogene 3","Pseudogene","","7","GC08P084162","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPM3P3"
"ENSG00000282987","Novel Transcript","RNA Gene","","6","GC03M021006","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000282987"
"LOC105377782","Uncharacterized LOC105377782","RNA Gene","","5","GC08P002343","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC105377782"
"ZNF92P2","Zinc Finger Protein 92 Pseudogene 2","Pseudogene","","5","GC19M022128","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF92P2"
"HSALNG0073744","","RNA Gene","","4","GC09P112053","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSALNG0073744"
"LOC124902432","Uncharacterized LOC124902432","RNA Gene","","3","GC10P060899","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC124902432"
"ENSG00000294894","Novel Transcript","RNA Gene","","2","GC03P025966","0.945854365825653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000294894"
"PRKAA2","Protein Kinase AMP-Activated Catalytic Subunit Alpha 2","Protein Coding","P54646","62","GC01P056645","0.904776632785797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAA2"
"ROCK1","Rho Associated Coiled-Coil Containing Protein Kinase 1","Protein Coding","Q13464","62","GC18M037168","0.899647831916809","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROCK1"
"SIRT1","Sirtuin 1","Protein Coding","Q96EB6","62","GC10P067884","0.899647831916809","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT1"
"MIR155","MicroRNA 155","RNA Gene","","30","GC21P025573","0.891448378562927","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155"
"ABCG1","ATP Binding Cassette Subfamily G Member 1","Protein Coding","P45844","56","GC21P042199","0.870333850383759","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG1"
"COQ10A","Coenzyme Q10A","Protein Coding","Q96MF6","47","GC12P056266","0.870333850383759","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COQ10A"
"RXRA","Retinoid X Receptor Alpha","Protein Coding","P19793","61","GC09P134317","0.866894841194153","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXRA"
"DISC1","DISC1 Scaffold Protein","Protein Coding","Q9NRI5","56","GC01P231626","0.866894841194153","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DISC1"
"PAX5","Paired Box 5","Protein Coding","Q02548","60","GC09M037122","0.847934067249298","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX5"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","Q16665","61","GC14P061695","0.823897004127502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"SMPD1","Sphingomyelin Phosphodiesterase 1","Protein Coding","P17405","61","GC11P006390","0.823897004127502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMPD1"
"NPC1L1","NPC1 Like Intracellular Cholesterol Transporter 1","Protein Coding","Q9UHC9","56","GC07M044512","0.823897004127502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPC1L1"
"BCL2L11","BCL2 Like 11","Protein Coding","O43521","58","GC02P111119","0.80459201335907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L11"
"RAP1GDS1","Rap1 GTPase-GDP Dissociation Stimulator 1","Protein Coding","P52306","53","GC04P098261","0.80459201335907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAP1GDS1"
"MIR126","MicroRNA 126","RNA Gene","","30","GC09P136670","0.80459201335907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR126"
"P2RX7","Purinergic Receptor P2X 7","Protein Coding","Q99572","60","GC12P137493","0.772893726825714","https://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RX7"
"UCP2","Uncoupling Protein 2","Protein Coding","P55851","59","GC11M073974","0.772893726825714","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP2"
"SOX5","SRY-Box Transcription Factor 5","Protein Coding","P35711","57","GC12M023529","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX5"
"POU2F1","POU Class 2 Homeobox 1","Protein Coding","P14859","56","GC01P174305","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU2F1"
"FADS2","Fatty Acid Desaturase 2","Protein Coding","O95864","54","GC11P061792","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FADS2"
"CELSR2","Cadherin EGF LAG Seven-Pass G-Type Receptor 2","Protein Coding","Q9HCU4","53","GC01P111387","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELSR2"
"DUSP4","Dual Specificity Phosphatase 4","Protein Coding","Q13115","53","GC08M029356","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP4"
"ID4","Inhibitor Of DNA Binding 4","Protein Coding","P47928","52","GC06P019837","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ID4"
"ADGRB3","Adhesion G Protein-Coupled Receptor B3","Protein Coding","O60242","51","GC06P068635","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRB3"
"TTC7A","Tetratricopeptide Repeat Domain 7A","Protein Coding","Q9ULT0","51","GC02P046925","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTC7A"
"SLC28A3","Solute Carrier Family 28 Member 3","Protein Coding","Q9HAS3","49","GC09M119628","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC28A3"
"TRIB1","Tribbles Pseudokinase 1","Protein Coding","Q96RU8","48","GC08P125430","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIB1"
"CNTNAP5","Contactin Associated Protein Family Member 5","Protein Coding","Q8WYK1","46","GC02P124025","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTNAP5"
"RBM38","RNA Binding Motif Protein 38","Protein Coding","Q9H0Z9","46","GC20P057391","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM38"
"COBLL1","Cordon-Bleu WH2 Repeat Protein Like 1","Protein Coding","Q53SF7","45","GC02M164654","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COBLL1"
"GLIS1","GLIS Family Zinc Finger 1","Protein Coding","Q8NBF1","44","GC01M053509","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLIS1"
"ASB18","Ankyrin Repeat And SOCS Box Containing 18","Protein Coding","Q6ZVZ8","39","GC02M236194","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASB18"
"ZNF679","Zinc Finger Protein 679","Protein Coding","Q8IYX0","34","GC07P064228","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF679"
"DISC2","Disrupted In Schizophrenia 2","RNA Gene","","25","GC01M231814","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DISC2"
"ACTBP8","ACTB Pseudogene 8","Pseudogene","","12","GC06M088275","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTBP8"
"MRPS36P2","Mitochondrial Ribosomal Protein S36 Pseudogene 2","Pseudogene","","9","GC04P186900","0.766710162162781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS36P2"
"AXL","AXL Receptor Tyrosine Kinase","Protein Coding","P30530","64","GC19P041219","0.72371244430542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AXL"
"P2RY12","Purinergic Receptor P2Y12","Protein Coding","Q9H244","61","GC03M151336","0.72371244430542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RY12"
"CCR7","C-C Motif Chemokine Receptor 7","Protein Coding","P32248","57","GC17M093375","0.72371244430542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR7"
"GAS6","Growth Arrest Specific 6","Protein Coding","Q14393","56","GC13M113820","0.72371244430542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS6"
"RXRG","Retinoid X Receptor Gamma","Protein Coding","P48443","54","GC01M166606","0.72371244430542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXRG"
"TXN","Thioredoxin","Protein Coding","P10599","59","GC09M110243","0.708276629447937","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXN"
"MIR34A","MicroRNA 34a","RNA Gene","","30","GC01M009151","0.708276629447937","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A"
"LOC111365141","NOS2 5' Regulatory Region","Functional Element","","8","GC17P027800","0.708276629447937","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC111365141"
"CP","Ceruloplasmin","Protein Coding","P00450","62","GC03M149162","0.674028873443604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CP"
"CXADR","CXADR Ig-Like Cell Adhesion Molecule","Protein Coding","P78310","57","GC21P017513","0.674028873443604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXADR"
"PTGES2","Prostaglandin E Synthase 2","Protein Coding","Q9H7Z7","53","GC09M128120","0.674028873443604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGES2"
"SERPINA12","Serpin Family A Member 12","Protein Coding","Q8IW75","52","GC14M094487","0.674028873443604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA12"
"AKT2","AKT Serine/Threonine Kinase 2","Protein Coding","P31751","67","GC19M040230","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT2"
"INSR","Insulin Receptor","Protein Coding","P06213","67","GC19M007112","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSR"
"KDR","Kinase Insert Domain Receptor","Protein Coding","P35968","67","GC04M055078","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDR"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","P42336","66","GC03P179148","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"PIK3CD","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Delta","Protein Coding","O00329","66","GC01P068090","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CD"
"CASP8","Caspase 8","Protein Coding","Q14790","65","GC02P201233","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"PIK3R1","Phosphoinositide-3-Kinase Regulatory Subunit 1","Protein Coding","P27986","65","GC05P068215","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R1"
"DBH","Dopamine Beta-Hydroxylase","Protein Coding","P09172","64","GC09P133636","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DBH"
"GSK3B","Glycogen Synthase Kinase 3 Beta","Protein Coding","P49841","64","GC03M119821","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSK3B"
"SLC6A3","Solute Carrier Family 6 Member 3","Protein Coding","Q01959","64","GC05M001392","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A3"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","P23560","63","GC11M027654","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"CPT2","Carnitine Palmitoyltransferase 2","Protein Coding","P23786","63","GC01P053196","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPT2"
"DDC","Dopa Decarboxylase","Protein Coding","P20711","63","GC07M050458","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDC"
"DRD2","Dopamine Receptor D2","Protein Coding","P14416","63","GC11M113409","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD2"
"F2","Coagulation Factor II, Thrombin","Protein Coding","P00734","63","GC11P048666","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2"
"GAD1","Glutamate Decarboxylase 1","Protein Coding","Q99259","63","GC02P170813","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAD1"
"PKM","Pyruvate Kinase M1/2","Protein Coding","P14618","63","GC15M072199","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKM"
"PRKAG2","Protein Kinase AMP-Activated Non-Catalytic Subunit Gamma 2","Protein Coding","Q9UGJ0","63","GC07M151556","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAG2"
"RARB","Retinoic Acid Receptor Beta","Protein Coding","P10826","63","GC03P025948","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARB"
"TH","Tyrosine Hydroxylase","Protein Coding","P07101","63","GC11M002163","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TH"
"ACACA","Acetyl-CoA Carboxylase Alpha","Protein Coding","Q13085","62","GC17M037084","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACACA"
"ADRB2","Adrenoceptor Beta 2","Protein Coding","P07550","62","GC05P157205","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB2"
"GYS1","Glycogen Synthase 1","Protein Coding","P13807","62","GC19M105253","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GYS1"
"LIPA","Lipase A, Lysosomal Acid Type","Protein Coding","P38571","62","GC10M089213","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPA"
"NR3C1","Nuclear Receptor Subfamily 3 Group C Member 1","Protein Coding","P04150","62","GC05M143277","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1"
"PIK3CB","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Beta","Protein Coding","P42338","62","GC03M138652","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CB"
"VKORC1","Vitamin K Epoxide Reductase Complex Subunit 1","Protein Coding","Q9BQB6","62","GC16M048823","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VKORC1"
"ACHE","Acetylcholinesterase (Yt Blood Group)","Protein Coding","P22303","61","GC07M100889","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACHE"
"ADRB1","Adrenoceptor Beta 1","Protein Coding","P08588","61","GC10P120791","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB1"
"CASP1","Caspase 1","Protein Coding","P29466","61","GC11M105025","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP1"
"CHAT","Choline O-Acetyltransferase","Protein Coding","P28329","61","GC10P049609","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHAT"
"CHRM2","Cholinergic Receptor Muscarinic 2","Protein Coding","P08172","61","GC07P136868","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRM2"
"CHRM3","Cholinergic Receptor Muscarinic 3","Protein Coding","P20309","61","GC01P239386","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRM3"
"CPT1A","Carnitine Palmitoyltransferase 1A","Protein Coding","P50416","61","GC11M068754","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPT1A"
"FASN","Fatty Acid Synthase","Protein Coding","P49327","61","GC17M082078","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASN"
"HTR2A","5-Hydroxytryptamine Receptor 2A","Protein Coding","P28223","61","GC13M046831","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR2A"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","P05019","61","GC12M102395","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"ITGB4","Integrin Subunit Beta 4","Protein Coding","P16144","61","GC17P075721","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB4"
